"title","domain","difficulty","blurb","angles","seed_context","tags"
"Redwood Trees","Nature & Environment","Beginner","Some of the tallest trees on Earth, found in California.","[""Why do redwoods grow so tall?"",""How do forests protect climate?""]","Coastal redwoods can reach over 350 feet.\nThey are ancient trees and store large amounts of carbon.","trees, redwoods, forest"
"Polar Bear","Nature & Environment","Beginner","A large predator adapted to life in the Arctic ice.","[""Why are polar bears at risk?"",""How do they survive extreme cold?""]","Polar bears hunt seals on sea ice.\nThey are threatened by melting Arctic ice.","polar bear, arctic, animal"
"Mount Everest","Nature & Environment","Beginner","The tallest mountain on Earth, in the Himalayas.","[""Why do climbers risk Everest?"",""How does altitude affect life?""]","Mount Everest rises 29,032 feet above sea level.\nIt attracts climbers worldwide despite dangers.","mount everest, mountain, himalaya"
"Niagara Falls","Nature & Environment","Beginner","A massive waterfall on the U.S.–Canada border.","[""Why do people flock to waterfalls?"",""How does falling water create power?""]","Niagara Falls is a tourist attraction and source of hydroelectricity.\nIt formed during the Ice Age.","waterfall, niagara, river"
"Giant Sequoia","Nature & Environment","Beginner","Massive trees that can live for over 3,000 years.","[""Why do sequoias live so long?"",""What makes them fire-resistant?""]","Giant sequoias grow in California.\nThey are among the oldest and largest living organisms.","sequoia, trees, ancient"
"Komodo Dragon","Nature & Environment","Beginner","The largest living lizard, native to Indonesian islands.","[""Why are Komodo dragons dangerous?"",""How do they hunt prey much larger than themselves?""]","Komodo dragons can grow over 10 feet.\nThey use venom and strength to kill prey.","komodo, dragon, lizard"
"Blue Whale","Nature & Environment","Beginner","The largest animal ever to live on Earth.","[""Why do whales sing?"",""How do blue whales survive eating tiny krill?""]","Blue whales can reach 100 feet and 200 tons.\nThey are gentle giants feeding mainly on krill.","blue whale, ocean, mammal"
"Aurora Borealis","Nature & Environment","Beginner","A natural light display in polar skies caused by solar particles.","[""Why do northern lights glow?"",""How do solar storms affect Earth?""]","Auroras occur when solar wind hits Earth’s atmosphere.\nThey are most visible near the poles.","aurora, lights, sky"
"Yellowstone Geysers","Nature & Environment","Beginner","Hot water and steam eruptions found in Yellowstone National Park.","[""Why does hot water shoot from Earth?"",""How do geysers warn us of activity?""]","Old Faithful is Yellowstone’s famous geyser.\nThe park sits on a volcanic hotspot.","geyser, yellowstone, park"
"Baobab Tree","Nature & Environment","Beginner","A tree with a huge trunk that stores water in dry climates.","[""Why is the baobab called the tree of life?"",""How do people use it?""]","Baobabs grow in Africa and Australia.\nThey provide shade, fruit, and water storage.","baobab, africa, tree"
"Emperor Penguin","Nature & Environment","Beginner","The largest penguin species, native to Antarctica.","[""Why do penguins huddle together?"",""How do they survive brutal winters?""]","Emperor penguins can grow over 4 feet tall.\nThey endure cold by group huddling and fat reserves.","penguin, antarctica, bird"
"Sahara Desert","Nature & Environment","Beginner","The largest hot desert in the world, spanning North Africa.","[""Why do deserts grow?"",""How do animals survive with little water?""]","The Sahara covers 3.6 million square miles.\nIt has extreme temperatures and unique species.","sahara, desert, africa"
"Coral Bleaching","Nature & Environment","Beginner","A stress reaction where corals lose color and vital algae.","[""Why are oceans heating so fast?"",""What happens if reefs die?""]","Bleaching occurs when warm water expels algae from coral.\nIt threatens reefs worldwide.","coral, bleaching, reef"
"Galápagos Tortoise","Nature & Environment","Beginner","A giant tortoise species from the Galápagos Islands.","[""Why do tortoises live so long?"",""How did Darwin study them?""]","Some Galápagos tortoises live over 100 years.\nThey helped inspire Darwin’s ideas on evolution.","tortoise, galapagos, evolution"
"Everglades","Nature & Environment","Beginner","A vast wetland ecosystem in Florida known for its wildlife.","[""Why protect wetlands?"",""How do alligators shape ecosystems?""]","The Everglades is home to unique plants and animals.\nIt provides water and storm protection.","everglades, wetlands, florida"
"Great Horned Owl","Nature & Environment","Beginner","A powerful bird of prey found across the Americas.","[""Why do owls symbolize wisdom?"",""How do they hunt silently?""]","Great horned owls have excellent vision and hearing.\nThey are adaptable predators of many habitats.","owl, bird, predator"
"Venus Flytrap","Nature & Environment","Beginner","A carnivorous plant that traps insects with snap leaves.","[""Why do plants eat animals?"",""How fast do flytraps close?""]","Venus flytraps grow in wetlands of the U.S.\nThey supplement nutrients by digesting insects.","plant, carnivorous, flytrap"
"Mount Kilimanjaro","Nature & Environment","Beginner","Africa’s tallest mountain, known for its snow-capped peak.","[""Why does snow exist near the equator?"",""How is Kilimanjaro changing?""]","Kilimanjaro rises over 19,000 feet.\nIts glaciers are shrinking due to climate change.","mountain, kilimanjaro, africa"
"Komodo National Park","Nature & Environment","Beginner","A protected area in Indonesia famous for Komodo dragons.","[""Why create protected areas?"",""How does tourism affect nature?""]","Established in 1980, Komodo National Park preserves biodiversity.\nIt is a UNESCO World Heritage site.","park, indonesia, komodo"
"Red-Crowned Crane","Nature & Environment","Beginner","A tall, elegant bird that symbolizes longevity in Asia.","[""Why do cultures revere cranes?"",""How do they migrate?""]","These cranes live in East Asia and are endangered.\nThey appear in art, myth, and festivals.","crane, bird, asia"
"Mount Fuji","Nature & Environment","Beginner","Japan’s highest and most iconic mountain.","[""Why is Fuji a cultural symbol?"",""How do volcanoes shape landscapes?""]","Mount Fuji is a dormant volcano.\nIt is central to Japanese culture and spirituality.","fuji, japan, mountain"
"Great Lakes","Nature & Environment","Beginner","The largest group of freshwater lakes in the world, in North America.","[""Why are freshwaters vital?"",""How did glaciers shape the lakes?""]","The Great Lakes hold ~20% of Earth’s surface freshwater.\nThey support ecosystems and economies.","lakes, freshwater, north america"
"Redwood National Park","Nature & Environment","Beginner","A U.S. park protecting towering coastal redwoods.","[""Why preserve giant trees?"",""How do old forests store carbon?""]","Redwood National Park was established in 1968.\nIt protects ancient redwood groves and wildlife.","redwood, park, california"
"Polar Ice Caps","Nature & Environment","Beginner","Massive frozen areas at Earth’s poles that regulate climate.","[""Why do melting ice caps matter?"",""How do they affect sea levels?""]","Polar ice caps reflect sunlight and regulate climate.\nThey are shrinking rapidly due to global warming.","ice, poles, climate"
"Amazon Deforestation","Nature & Environment","Intermediate","The large-scale removal of rainforest trees in South America.","[""Why is deforestation accelerating?"",""How does it affect climate globally?""]","The Amazon loses millions of acres each year.\nIt impacts carbon storage, biodiversity, and rainfall.","amazon, deforestation, forest"
"Coral Bleaching Events","Nature & Environment","Intermediate","Mass die-offs of coral caused by heat stress and acidification.","[""Why do corals lose color?"",""How do reefs recover, if at all?""]","Bleaching occurs when corals expel symbiotic algae.\nIt threatens reefs worldwide under warming seas.","coral, bleaching, ocean"
"Plastic Pollution","Nature & Environment","Intermediate","The accumulation of synthetic plastics in oceans and land ecosystems.","[""Why is plastic so persistent?"",""What solutions exist for cleanup?""]","Plastics take centuries to decompose.\nThey harm wildlife and enter food chains through microplastics.","plastic, pollution, waste"
"Invasive Species","Nature & Environment","Intermediate","Non-native plants or animals that disrupt ecosystems.","[""Why do invasives spread quickly?"",""How do they harm native species?""]","Examples include zebra mussels, cane toads, and kudzu.\nThey outcompete natives and alter habitats.","invasive, ecology, environment"
"Desertification","Nature & Environment","Intermediate","The process where fertile land becomes desert due to human activity and climate.","[""Why does overgrazing fuel deserts?"",""Can desertification be reversed?""]","Desertification affects regions like the Sahel.\nIt threatens food security and ecosystems.","desertification, land, climate"
"Great Pacific Garbage Patch","Nature & Environment","Intermediate","A massive floating concentration of plastic debris in the Pacific Ocean.","[""Why do currents trap plastics?"",""How does waste harm marine life?""]","The patch is twice the size of Texas.\nIt accumulates due to ocean gyres.","plastic, pacific, pollution"
"Wildlife Corridors","Nature & Environment","Intermediate","Protected pathways that connect habitats and allow safe animal movement.","[""Why do animals need corridors?"",""How do humans design them?""]","Corridors reduce habitat fragmentation.\nThey are built as bridges, tunnels, or reserves.","corridors, wildlife, conservation"
"Ocean Acidification","Nature & Environment","Intermediate","The drop in seawater pH from absorbing excess CO₂.","[""Why does acidity harm marine life?"",""How do shellfish and reefs suffer?""]","Oceans absorb ~30% of CO₂ emissions.\nThis weakens shells and disrupts ecosystems.","ocean, acidification, carbon"
"Endangered Species Act","Nature & Environment","Intermediate","A U.S. law protecting threatened species and habitats.","[""Why protect species legally?"",""How successful has the Act been?""]","Enacted in 1973, it helped recover bald eagles and wolves.\nIt is debated for balancing development and conservation.","esa, species, law"
"Climate Refugees","Nature & Environment","Intermediate","People forced to move due to environmental changes and disasters.","[""Why are communities displaced?"",""What policies protect them?""]","Rising seas, droughts, and storms displace millions.\nIt raises humanitarian and legal challenges.","climate, refugees, migration"
"National Parks","Nature & Environment","Intermediate","Protected lands conserving biodiversity and natural beauty.","[""Why set aside parks?"",""How do parks balance tourism and protection?""]","First created in the U.S. with Yellowstone (1872).\nNow millions of square miles worldwide are preserved.","parks, conservation, land"
"Carbon Sequestration","Nature & Environment","Intermediate","The capture and storage of carbon dioxide from the atmosphere.","[""Why store carbon underground?"",""How do forests act as carbon sinks?""]","Forests, soils, and technology trap carbon.\nIt is vital to slowing climate change.","carbon, storage, climate"
"Rewilding","Nature & Environment","Intermediate","The process of restoring ecosystems by reintroducing species.","[""Why bring wolves back to Yellowstone?"",""How do keystone species reshape land?""]","Rewilding projects reintroduce predators and grazers.\nThey aim to restore natural balance.","rewilding, ecology, species"
"Renewable Energy Transition","Nature & Environment","Intermediate","Shifting from fossil fuels to solar, wind, and hydropower.","[""Why replace fossil fuels?"",""How do renewables reshape economies?""]","Renewables cut carbon emissions.\nChallenges include cost, storage, and infrastructure.","renewable, energy, climate"
"Ecological Footprint","Nature & Environment","Intermediate","A measure of human demand on Earth’s ecosystems and resources.","[""Why calculate footprints?"",""How do lifestyles differ globally?""]","It measures land, water, and carbon use.\nOvershoot Day marks when resources run out yearly.","footprint, ecology, sustainability"
"Wildfires","Nature & Environment","Intermediate","Uncontrolled fires in forests, grasslands, or shrublands.","[""Why are wildfires more frequent?"",""How do ecosystems recover?""]","Wildfires occur naturally but are worsened by climate change.\nThey shape landscapes but also destroy homes.","wildfire, fire, forest"
"Glacier Retreat","Nature & Environment","Intermediate","The shrinking of glaciers worldwide due to warming temperatures.","[""Why do melting glaciers matter?"",""How does it affect water supplies?""]","Glaciers provide water to millions.\nRetreat accelerates sea-level rise and drought risks.","glaciers, melting, climate"
"Biodiversity Hotspots","Nature & Environment","Intermediate","Regions with high species diversity under threat from human activity.","[""Why protect hotspots?"",""Which regions are most at risk?""]","Hotspots include Madagascar, Himalayas, and Amazon.\nThey hold unique plants and animals.","biodiversity, hotspots, conservation"
"Mangrove Forests","Nature & Environment","Intermediate","Coastal forests that protect shorelines and nurture marine life.","[""Why are mangroves storm shields?"",""How do roots support ecosystems?""]","Mangroves thrive in tropical tidal areas.\nThey store carbon and reduce erosion.","mangroves, coast, protection"
"Air Pollution","Nature & Environment","Intermediate","Contamination of air by harmful gases and particles.","[""Why is smog dangerous?"",""How do cities combat pollution?""]","Sources include vehicles, factories, and burning fuels.\nIt harms health and contributes to climate change.","pollution, air, health"
"Overfishing","Nature & Environment","Intermediate","Harvesting fish faster than populations can recover.","[""Why do fish stocks collapse?"",""How does overfishing harm communities?""]","Overfishing reduces species like cod and tuna.\nIt threatens food supply and ocean balance.","fishing, overfishing, ocean"
"Hydroelectric Dams","Nature & Environment","Intermediate","Dams that generate electricity by controlling water flow.","[""Why harness rivers?"",""What tradeoffs do dams create?""]","Hydroelectricity supplies ~16% of global power.\nDams displace people and affect ecosystems.","dams, hydroelectric, energy"
"Ecotourism","Nature & Environment","Intermediate","Tourism focused on sustainability and natural conservation.","[""Why does travel harm or help nature?"",""How do communities benefit?""]","Ecotourism highlights parks, reefs, and wildlife.\nIt educates visitors and funds protection.","ecotourism, tourism, nature"
"Soil Erosion","Nature & Environment","Intermediate","The removal of topsoil by wind, water, or farming practices.","[""Why does erosion threaten farming?"",""How can it be slowed?""]","Erosion reduces fertile land for crops.\nIt can be slowed by terracing and cover crops.","soil, erosion, farming"
"Endangered Amphibians","Nature & Environment","Intermediate","Frogs, salamanders, and others at risk from disease and habitat loss.","[""Why are amphibians declining fastest?"",""What do they tell us about ecosystems?""]","Amphibians are sensitive to pollution and climate.\nMany species face extinction worldwide.","amphibians, endangered, ecology"
"Sea Level Rise","Nature & Environment","Intermediate","The increase of global sea levels due to melting ice and warming seas.","[""Why do small islands face risk?"",""How fast are seas rising?""]","Global sea levels rose ~8 inches in the past century.\nIt threatens cities and coastlines.","sea level, climate, ocean"
"Pollinators","Nature & Environment","Intermediate","Species like bees and bats that fertilize plants by transferring pollen.","[""Why are pollinators vital to food?"",""How do pesticides threaten them?""]","Pollinators ensure crops reproduce.\nTheir decline affects global food supplies.","bees, pollinators, farming"
"El Niño","Nature & Environment","Intermediate","A recurring climate pattern warming Pacific waters and altering weather.","[""Why does El Niño disrupt rain?"",""How does it affect economies?""]","El Niño events occur every 2–7 years.\nThey cause droughts, floods, and global shifts.","el nino, climate, ocean"
"Urban Heat Islands","Nature & Environment","Intermediate","Cities that trap more heat due to pavement, buildings, and pollution.","[""Why are cities hotter than rural areas?"",""What can reduce heat islands?""]","Urban areas absorb and retain heat.\nThey worsen energy demand and health risks.","urban, heat, climate"
"Keystone Species","Nature & Environment","Intermediate","Species that have disproportionate effects on ecosystems’ balance.","[""Why do wolves shape landscapes?"",""How do starfish control reefs?""]","Keystone species include wolves, otters, and starfish.\nTheir presence maintains ecosystem stability.","keystone, ecology, species"
"Geoengineering","Nature & Environment","Advanced","Large-scale technologies proposed to alter Earth’s climate systems.","[""Should humans deliberately change climate?"",""What risks outweigh benefits?""]","Ideas include reflecting sunlight or capturing carbon.\nThey remain experimental and controversial.","geoengineering, climate, technology"
"Carbon Capture and Storage","Nature & Environment","Advanced","Technologies designed to trap CO₂ emissions from industries.","[""Why invest in CCS?"",""Can storage prevent leakage long-term?""]","CCS projects capture carbon at factories and bury it underground.\nIt is costly but part of climate strategies.","carbon, storage, emissions"
"Rewilding Large Carnivores","Nature & Environment","Advanced","The reintroduction of wolves, lions, or jaguars to restore ecosystems.","[""Do apex predators stabilize ecosystems?"",""What conflicts arise with people?""]","Projects in Yellowstone and Europe show benefits.\nPredators control herbivores and shape landscapes.","rewilding, predators, ecology"
"Tipping Points in Climate","Nature & Environment","Advanced","Critical thresholds where ecosystems shift irreversibly.","[""What happens if we cross tipping points?"",""Which systems are most fragile?""]","Examples include ice sheet collapse and Amazon dieback.\nCrossing them accelerates climate change.","climate, tipping points, ecosystems"
"Ocean Dead Zones","Nature & Environment","Advanced","Areas with so little oxygen that marine life cannot survive.","[""Why do fertilizers cause dead zones?"",""How can they be reversed?""]","Dead zones form from nutrient runoff fueling algae blooms.\nOver 400 exist worldwide, including the Gulf of Mexico.","ocean, dead zones, pollution"
"Permafrost Thaw","Nature & Environment","Advanced","Melting frozen soils releasing carbon and methane into the atmosphere.","[""Why is thaw accelerating warming?"",""How do microbes fuel emissions?""]","Permafrost holds vast amounts of greenhouse gases.\nIts thaw risks climate feedback loops.","permafrost, thaw, carbon"
"Arctic Shipping Lanes","Nature & Environment","Advanced","New trade routes opening as polar ice melts.","[""What opportunities and dangers emerge?"",""How does this affect geopolitics?""]","Melting ice allows ships through the Arctic.\nIt reduces travel time but threatens fragile ecosystems.","arctic, shipping, ice"
"Mass Extinction Risk","Nature & Environment","Advanced","Concerns that Earth is entering a human-driven sixth mass extinction.","[""Why is biodiversity collapsing?"",""How does extinction affect humanity?""]","Extinction rates are 100–1000x natural levels.\nSpecies loss undermines ecosystems and services.","extinction, biodiversity, risk"
"Hydraulic Fracturing","Nature & Environment","Advanced","A method of extracting oil and gas by fracturing rock with fluid.","[""Why is fracking controversial?"",""How does it affect water and quakes?""]","Fracking boosted energy supply but risks pollution.\nIt also links to minor earthquakes.","fracking, energy, environment"
"Nuclear Waste Disposal","Nature & Environment","Advanced","The challenge of storing radioactive waste safely for millennia.","[""Where can waste be buried?"",""How do we warn future generations?""]","Spent nuclear fuel remains hazardous for thousands of years.\nStorage solutions remain debated worldwide.","nuclear, waste, disposal"
"Carbon Border Taxes","Nature & Environment","Advanced","Policies that tax imports based on their carbon footprint.","[""Do taxes drive global fairness?"",""How do they affect trade?""]","Carbon border taxes aim to reduce emissions.\nThey pressure industries and exporting nations to adapt.","carbon, policy, trade"
"Climate Justice","Nature & Environment","Advanced","A movement stressing fairness in addressing climate change impacts.","[""Why are poor nations hit hardest?"",""Who should pay for adaptation?""]","Climate justice highlights unequal burdens.\nIt calls for shared responsibility in solutions.","climate, justice, equity"
"Deep-Sea Mining","Nature & Environment","Advanced","Extracting minerals from the ocean floor for high-tech industries.","[""Should we mine fragile seas?"",""What ecosystems could collapse?""]","Deep-sea mining targets nodules with rare metals.\nIts impacts on deep ecosystems are largely unknown.","mining, ocean, resources"
"Genetic Rescue","Nature & Environment","Advanced","Using genetics to save endangered species through breeding or editing.","[""Is it ethical to edit wildlife?"",""Can genetics replace conservation?""]","Genetic rescue includes cloning, gene editing, and selective breeding.\nIt is experimental but growing.","genetics, conservation, rescue"
"Solar Radiation Management","Nature & Environment","Advanced","A geoengineering idea to reflect sunlight with aerosols or mirrors.","[""What risks outweigh cooling benefits?"",""Could SRM backfire globally?""]","SRM could temporarily lower temperatures.\nSide effects may include disrupted weather and politics.","solar, radiation, geoengineering"
"Microplastics","Nature & Environment","Advanced","Tiny plastic particles now found across ecosystems and organisms.","[""Why are microplastics everywhere?"",""How do they affect health?""]","Microplastics enter air, water, and food.\nTheir long-term effects on health remain unclear.","microplastics, pollution, plastics"
"Geoecology of Cities","Nature & Environment","Advanced","The study of ecological systems within highly urbanized areas.","[""Are cities ecosystems too?"",""How can urban design be greener?""]","Urban ecology examines biodiversity, pollution, and resilience.\nIt explores how cities function like ecosystems.","urban, ecology, cities"
"Methane Hydrates","Nature & Environment","Advanced","Icy deposits under the seafloor that hold vast amounts of methane gas.","[""Are hydrates an energy resource?"",""What risks if they destabilize?""]","Methane hydrates exist in Arctic and deep seas.\nThey could fuel energy but risk massive emissions.","methane, hydrates, climate"
"Environmental DNA (eDNA)","Nature & Environment","Advanced","Genetic material from organisms left in water, soil, or air for monitoring.","[""Why is eDNA revolutionary?"",""How does it change conservation?""]","Scientists use eDNA to detect species without capture.\nIt aids biodiversity surveys and research.","edna, genetics, ecology"
"Geoarchaeology","Nature & Environment","Advanced","The study of how natural processes interact with archaeological sites.","[""Why study landscapes with artifacts?"",""How does environment preserve history?""]","Geoarchaeology links geology and archaeology.\nIt examines erosion, soils, and site formation.","archaeology, environment, geology"
"Planetary Boundaries","Nature & Environment","Advanced","A framework defining safe limits for Earth’s systems.","[""What happens if limits are crossed?"",""How do boundaries guide policy?""]","Planetary boundaries include climate, nitrogen, and biodiversity.\nCrossing them risks destabilizing Earth.","planetary, limits, environment"
"Wildlife Trade","Nature & Environment","Advanced","The legal and illegal global trade of animals and plants.","[""Why is wildlife trafficking dangerous?"",""How does trade spread diseases?""]","The wildlife trade fuels extinctions and zoonotic diseases.\nIt is a major environmental and security concern.","wildlife, trade, trafficking"
"Urban Reforestation","Nature & Environment","Advanced","The practice of planting and managing trees within cities.","[""Why grow forests in cities?"",""How do trees change urban climates?""]","Urban forests improve air quality, reduce heat, and support biodiversity.\nThey also enhance wellbeing.","reforestation, urban, trees"
"Hydrological Modeling","Nature & Environment","Advanced","Simulating water movement through landscapes and systems.","[""Why predict floods and droughts?"",""How does modeling aid policy?""]","Hydrological models combine rainfall, soil, and flow data.\nThey inform planning for water security.","hydrology, water, modeling"
"Geo-Biofeedback Loops","Nature & Environment","Advanced","Processes where ecosystems and climate changes reinforce each other.","[""Why do feedback loops accelerate change?"",""What loops matter most?""]","Examples include permafrost thaw releasing carbon.\nSuch loops risk runaway climate change.","feedback, climate, systems"
"Ocean Iron Fertilization","Nature & Environment","Advanced","A geoengineering experiment adding iron to boost phytoplankton growth.","[""Why fertilize oceans?"",""What risks of altering food webs?""]","Iron fertilization aims to increase carbon absorption.\nTrials show mixed and controversial results.","iron, ocean, geoengineering"
"Climate Modeling Uncertainty","Nature & Environment","Advanced","The difficulty in predicting future climates with accuracy.","[""Why are models uncertain?"",""How should uncertainty guide action?""]","Models depend on emissions, feedbacks, and assumptions.\nThey still consistently project warming trends.","climate, modeling, uncertainty"
"Anthropocene Debate","Nature & Environment","Advanced","The proposed new epoch marking humanity’s impact on Earth.","[""When did the Anthropocene start?"",""Why debate formal recognition?""]","Geologists argue over defining a new epoch.\nEvidence includes plastics, carbon, and nuclear traces.","anthropocene, epoch, humans"
"Ecological Economics","Nature & Environment","Advanced","A field merging ecology and economics to value nature’s services.","[""Can ecosystems be priced?"",""How do markets include environment?""]","Ecological economics studies trade-offs, growth, and sustainability.\nIt challenges traditional economics.","economics, ecology, sustainability"
"Solar Geoengineering Governance","Nature & Environment","Advanced","Debates over who controls experiments to cool Earth with sunlight management.","[""Who decides global experiments?"",""How to prevent misuse?""]","Governance of geoengineering is complex.\nIt involves ethics, politics, and global cooperation.","geoengineering, governance, solar"
"Adam Smith","Economics & Business","Beginner","An 18th-century economist known as the father of modern economics.","[""Why is Smith called the father of economics?"",""How does the 'invisible hand' work?""]","Smith wrote *The Wealth of Nations* in 1776.\nHe argued free markets allocate resources efficiently.","adam smith, economics, markets"
"The Wealth of Nations","Economics & Business","Beginner","A foundational economics book by Adam Smith explaining free markets.","[""Why study this book today?"",""How did it shape capitalism?""]","Published in 1776, it introduced ideas like division of labor.\nIt influenced global economic thought.","smith, capitalism, markets"
"John Maynard Keynes","Economics & Business","Beginner","A British economist who argued for government action in recessions.","[""Why did Keynes challenge laissez-faire?"",""How does government spending help?""]","Keynes (1883–1946) proposed deficit spending in downturns.\nHis ideas shaped modern macroeconomics.","keynes, economics, government"
"Supply and Demand","Economics & Business","Beginner","A basic concept showing how prices adjust when supply meets demand.","[""Why do shortages raise prices?"",""How do markets find balance?""]","Supply and demand curves explain market prices.\nThey are taught as the foundation of economics.","supply, demand, markets"
"Inflation","Economics & Business","Beginner","A rise in overall prices that reduces the value of money.","[""Why do prices keep rising?"",""How does inflation affect savings?""]","Inflation is measured by consumer price indexes.\nMild inflation is normal; high inflation harms economies.","inflation, prices, money"
"Recession","Economics & Business","Beginner","A period of economic decline marked by falling output and jobs.","[""Why do recessions happen?"",""How do they affect people?""]","Recessions occur when demand falls and production slows.\nGovernments respond with spending or tax cuts.","recession, economy, jobs"
"Gross Domestic Product (GDP)","Economics & Business","Beginner","A measure of the total value of goods and services produced in a country.","[""Why does GDP matter?"",""How does it compare nations?""]","GDP is a key indicator of economic health.\nIt measures output over time or across countries.","gdp, economy, growth"
"Stock Market","Economics & Business","Beginner","A system where people buy and sell ownership shares of companies.","[""Why invest in stocks?"",""How do markets reflect confidence?""]","Stock markets include exchanges like NYSE and Nasdaq.\nThey connect investors and businesses.","stocks, markets, investing"
"New York Stock Exchange","Economics & Business","Beginner","The largest stock exchange in the world by market capitalization.","[""Why is Wall Street symbolic?"",""How does NYSE shape finance?""]","Founded in 1792, NYSE trades thousands of companies.\nIt remains central to global finance.","nyse, stocks, finance"
"NASDAQ","Economics & Business","Beginner","A U.S. stock exchange known for listing technology companies.","[""Why are tech firms on Nasdaq?"",""How does electronic trading differ?""]","Nasdaq began in 1971 as the first electronic exchange.\nIt lists firms like Apple, Microsoft, and Google.","nasdaq, tech, stocks"
"Apple Inc.","Economics & Business","Beginner","A major technology company known for iPhones, Macs, and design innovation.","[""Why is Apple so influential?"",""How did Steve Jobs shape it?""]","Founded in 1976, Apple became the first trillion-dollar firm.\nIt dominates consumer electronics.","apple, business, tech"
"Amazon","Economics & Business","Beginner","An e-commerce and cloud giant reshaping global retail.","[""Why did Amazon grow so fast?"",""How did it change shopping?""]","Founded by Jeff Bezos in 1994.\nIt evolved from bookselling to a global tech leader.","amazon, ecommerce, cloud"
"Elon Musk","Economics & Business","Beginner","A billionaire entrepreneur behind Tesla, SpaceX, and other ventures.","[""Why is Musk considered a risk-taker?"",""How do his companies disrupt industries?""]","Musk founded or led companies in cars, space, and energy.\nHe is one of the world’s richest individuals.","elon musk, tesla, spacex"
"Warren Buffett","Economics & Business","Beginner","An American investor known as the 'Oracle of Omaha'.","[""Why is Buffett admired?"",""How does value investing work?""]","Buffett runs Berkshire Hathaway.\nHe built a fortune by long-term, disciplined investing.","buffett, investing, berkshire"
"Berkshire Hathaway","Economics & Business","Beginner","An investment company run by Warren Buffett.","[""Why invest through holding companies?"",""How did Berkshire grow?""]","Berkshire owns shares in Coca-Cola, Apple, and insurance firms.\nIt is valued for long-term stability.","berkshire, investing, company"
"Coca-Cola","Economics & Business","Beginner","One of the most recognizable brands in the world, selling soft drinks.","[""Why is Coca-Cola so iconic?"",""How does branding drive sales?""]","Founded in 1886, Coca-Cola became a global beverage leader.\nIt relies on marketing and distribution.","coca cola, drinks, brand"
"McDonald’s","Economics & Business","Beginner","A fast-food giant known for burgers, fries, and global franchises.","[""Why did McDonald’s spread worldwide?"",""How does fast food reflect culture?""]","Founded in 1940, McDonald’s operates in over 100 countries.\nIt symbolizes globalization.","mcdonalds, fast food, franchise"
"Globalization","Economics & Business","Beginner","The increasing interconnectedness of economies and cultures.","[""Why do companies go global?"",""What are the costs of globalization?""]","Globalization expands trade, jobs, and ideas.\nIt also sparks debates on inequality and culture.","globalization, trade, economy"
"Henry Ford","Economics & Business","Beginner","An industrialist who pioneered assembly line mass production of cars.","[""Why did Ford change industry?"",""How did affordable cars shape life?""]","Ford founded Ford Motor Company in 1903.\nHis Model T revolutionized transport and business.","henry ford, cars, business"
"Ford Model T","Economics & Business","Beginner","The first mass-produced affordable car.","[""Why did the Model T matter?"",""How did it change mobility?""]","Introduced in 1908, it sold millions.\nIt made cars accessible to ordinary families.","model t, ford, cars"
"Steve Jobs","Economics & Business","Beginner","Co-founder of Apple, known for innovation and design vision.","[""Why is Jobs seen as a visionary?"",""How did Apple redefine products?""]","Jobs (1955–2011) led Apple to create the iPhone, iPod, and Mac.\nHe shaped modern tech culture.","steve jobs, apple, innovation"
"Bill Gates","Economics & Business","Beginner","Co-founder of Microsoft and philanthropist.","[""Why did Gates dominate software?"",""How did he shift into philanthropy?""]","Microsoft’s Windows OS made Gates one of the richest men.\nHis foundation funds health and education.","bill gates, microsoft, philanthropy"
"Microsoft","Economics & Business","Beginner","A software company best known for Windows and Office.","[""Why did Microsoft dominate PCs?"",""How did it adapt to the cloud?""]","Founded in 1975, Microsoft expanded into Azure and AI.\nIt remains a global tech giant.","microsoft, software, company"
"Stock Exchange of London","Economics & Business","Beginner","One of the world’s oldest stock exchanges, located in the UK.","[""Why is London a finance hub?"",""How does history shape markets?""]","Founded in 1801, it remains central to European finance.\nIt trades thousands of companies worldwide.","london, stocks, exchange"
"Interest Rates","Economics & Business","Beginner","The cost of borrowing money, set by central banks and markets.","[""Why do interest rates rise and fall?"",""How do they affect people?""]","Rates influence mortgages, loans, and savings.\nThey are key tools in economic policy.","interest, rates, money"
"Federal Reserve","Economics & Business","Beginner","The U.S. central bank managing money supply and stability.","[""Why does the Fed set rates?"",""How does it prevent crises?""]","Created in 1913, the Fed controls monetary policy.\nIt aims for stable prices and employment.","federal reserve, central bank, us"
"International Monetary Fund (IMF)","Economics & Business","Beginner","An international body that helps countries with economic stability.","[""Why support struggling nations?"",""How does the IMF shape policy?""]","Founded in 1944, the IMF lends money to nations.\nIt also advises on economic policy.","imf, global, finance"
"World Bank","Economics & Business","Beginner","A global institution funding development projects in poor nations.","[""Why fund infrastructure?"",""How does the World Bank fight poverty?""]","Created in 1944, the World Bank finances health, education, and roads.\nIt supports long-term growth.","world bank, development, finance"
"Silicon Valley","Economics & Business","Beginner","A region in California known for tech startups and innovation.","[""Why is Silicon Valley unique?"",""How did it fuel the digital age?""]","Silicon Valley is home to Apple, Google, and Facebook.\nIt symbolizes entrepreneurship and risk-taking.","silicon valley, startups, tech"
